id,logFC,AveExpr,t,P.Value,adj.P.Val,B,TargetFullName,Target,EntrezGeneSymbol,Type
SOST.13101.60.3,-0.0212153794095836,9.638650894042,10.877659412865045,0.1455966614660813,0.8266324091725835,20.39897647552316,Sclerostin,SOST,SOST,Protein
GDF15.4374.45.2,0.0589815805195955,6.868191933346531,8.630582960616593,0.3246087103467211,0.6955281208551521,14.261363543198526,Growth/differentiation factor 15,MIC-1,GDF15,Protein
SELL.4831.4.2,0.32116786107882,9.836411611962518,-8.139311767724369,0.5785586234540723,0.4199295784565592,12.826296426902038,L-Selectin,sL-Selectin,SELL,Protein
ADAMTS5.3168.8.2,-0.0382679602169397,6.194153555965578,6.193625555418582,0.5996119063046632,0.4479163102243674,6.911531312605359,A disintegrin and metalloproteinase with thrombospondin motifs 5,ADAMTS-5,ADAMTS5,Protein
RET.3220.40.2,-0.2950448392581613,8.096716071310366,-6.121637806627189,0.1499613175516704,0.3820189563735539,6.688751322891992,Proto-oncogene tyrosine-protein kinase receptor Ret,RET,RET,Protein
EFEMP1.8480.29.3,0.0113019706543723,7.275245967524116,5.276878724575711,0.2989937561023578,0.5010097955664821,4.082562029226409,EGF-containing fibulin-like extracellular matrix protein 1,FBLN3,EFEMP1,Protein
PTN.3045.72.2,-0.0671484691212393,7.395928734968536,4.995090139806697,0.6174979932874958,0.9219931535385502,3.223535265930783,Pleiotrophin,PTN,PTN,Protein
NTN4.3327.27.1,0.5424906283690552,7.773364516910435,-4.975046330177212,0.0822549418682677,0.7889865356997936,3.1627735193166053,Netrin-4,NET4,NTN4,Protein
CDON.4541.49.2,0.1219197799610788,10.001360005198444,-4.969377200849384,0.7728268350727953,0.5098910912193867,3.145597121219277,Cell adhesion molecule-related/down-regulated by oncogenes,CDON,CDON,Protein
KLK8.2834.54.1,0.1095895328799475,10.32697010742204,-4.670594994630099,0.1343781960171478,0.8234989875529309,2.246850035550679,Kallikrein-8,kallikrein 8,KLK8,Protein
FUT5.4549.78.2,0.154655776719579,10.22122628899099,4.656441411773931,0.5789463921982574,0.1583398577429336,2.204628057363184,"Alpha-(1,3)-fucosyltransferase 5",FUT5,FUT5,Protein
OMD.5358.3.3,-0.0448973064942164,10.594056717816056,-4.568188330909411,0.2231487523787602,0.9500653706960728,1.94217170812548,Osteomodulin,OMD,OMD,Protein
KIT.2475.1.3,0.1003958456135262,11.654283779683045,-4.472817786362791,0.205119985158923,0.5814613011802955,1.6602204493014288,Mast/stem cell growth factor receptor Kit,SCF sR,KIT,Protein
NOTCH1.5107.7.2,-0.1773553806686537,12.2978732858212,-4.407341736233049,0.5148608820257263,0.7557708948189885,1.4677269167528824,Neurogenic locus notch homolog protein 1,Notch 1,NOTCH1,Protein
SERPINF2.3024.18.2,0.050040717068464,8.39291987086035,-4.281659953330437,0.2179375304885886,0.8275378435559241,1.100891144012139,Alpha-2-antiplasmin,a2-Antiplasmin,SERPINF2,Protein
CA3.3799.11.2,0.1350071580980094,8.13029411090743,4.249123838203422,0.1466201131871058,0.9133973979323466,1.006528909884688,Carbonic anhydrase 3,Carbonic anhydrase III,CA3,Protein
IL5RA.4491.4.2,0.2011787023594416,8.32814836389427,4.2162685871113394,0.0369668357479361,0.0937198162915724,0.911505073289506,Interleukin-5 receptor subunit alpha,IL-5 Ra,IL5RA,Protein
SH2D1A.4567.82.2,-0.0344726174009381,10.010116305832025,-4.2142287660409945,0.3404639493150176,0.9488253763530304,0.9056144010288696,SH2 domain-containing protein 1A,SH21A,SH2D1A,Protein
IL1B.3037.62.1,0.0145393651024411,9.990736236103444,-4.208993197340548,0.7422879659125018,0.8282965933896363,0.8904997324655941,Interleukin-1 beta,IL-1b,IL1B,Protein
SPINT1.2828.82.2,-0.1592901482842846,11.15410357537916,-4.19300952561051,0.5400324984487925,0.028821181745545,0.844399167806066,Kunitz-type protease inhibitor 1,HAI-1,SPINT1,Protein
CCL21.2516.57.3,-0.0148088419782769,11.308025889334765,-4.189893026667488,0.1972977536631632,0.739120469850096,0.8354180666192192,C-C motif chemokine 21,6Ckine,CCL21,Protein
LTA.LTB.3505.6.2,-0.1888270754992506,5.323748398064107,-4.150302098799717,0.5474194570339747,0.6670562157813545,0.7215440278404115,Lymphotoxin alpha1:beta2,Lymphotoxin a1/b2,LTA LTB,Protein
ROBO2.5116.62.2,0.0687648279478083,9.572150768786743,-4.076345190910955,0.207943988603376,0.1989092975164302,0.509941253420191,Roundabout homolog 2,ROBO2,ROBO2,Protein
SOD2.5008.51.1,-0.2209764994846156,13.655150837600385,-4.063574914562206,0.6094827142721566,0.3327967356928085,0.4735551012933685,"Superoxide dismutase [Mn], mitochondrial",Mn SOD,SOD2,Protein
CA9.3798.71.1,-0.0924782484508334,9.281106772375235,-4.040765880502574,0.7667632639925808,0.9133973979323466,0.4086796312155725,Carbonic anhydrase 9,Carbonic anhydrase 9,CA9,Protein
CAPG.4968.50.1,0.2987817691918989,7.638677108470358,4.001178623120617,0.0265396766321179,0.4479163102243674,0.2964348492811881,Macrophage-capping protein,CAPG,CAPG,Protein
PPIB.4718.5.2,-0.9168044227053216,10.209781417252096,-3.954801304266898,0.000260388881862922,0.9174388243273012,0.1655210548231487,Peptidyl-prolyl cis-trans isomerase B,PPIB,PPIB,Protein
SMPDL3A.4771.10.3,-0.0745943538252945,10.1946802601742,-3.942777211475899,0.8382864384422579,0.9786087692838754,0.131684455066531,Acid sphingomyelinase-like phosphodiesterase 3a,ASM3A,SMPDL3A,Protein
IL1R2.14133.93.3,0.0359164546841149,11.256573932949465,-3.917905851671015,0.95834941372476,0.739120469850096,0.0618344720507257,Interleukin-1 receptor type 2,IL-1 sRII,IL1R2,Protein
TIE1.2844.53.2,0.048920200164277,10.786490849788311,-3.894213173995485,0.2983889137804789,0.9132760270622936,-0.004527802054457,"Tyrosine-protein kinase receptor Tie-1, soluble",sTie-1,TIE1,Protein
